Zip|IncomeRange|NumberOfReturns
10598|$100,000 under $200,000|3980
11429|$25,000 under $50,000|3980
11237|$50,000 under $75,000|3970
11375|$200,000 or more|3970
11735|$100,000 under $200,000|3970
12309|$100,000 under $200,000|3970
13069|$1 under $25,000|3970
11230|$100,000 under $200,000|3960
11572|$1 under $25,000|3960
11731|$100,000 under $200,000|3960
13045|$1 under $25,000|3950
14220|$1 under $25,000|3950
10030|$25,000 under $50,000|3940
11204|$50,000 under $75,000|3940
11231|$1 under $25,000|3940
11704|$100,000 under $200,000|3940
10003|$50,000 under $75,000|3930
10013|$1 under $25,000|3930
11209|$75,000 under $100,000|3930
14206|$1 under $25,000|3930
10309|$1 under $25,000|3910
10310|$1 under $25,000|3910
11003|$50,000 under $75,000|3900
14621|$25,000 under $50,000|3900
11575|$1 under $25,000|3890
11793|$1 under $25,000|3890
14450|$25,000 under $50,000|3890
10453|$50,000 under $75,000|3880
11374|$50,000 under $75,000|3880
12205|$25,000 under $50,000|3880
14611|$1 under $25,000|3880
11050|$1 under $25,000|3870
10039|$25,000 under $50,000|3860
11215|$75,000 under $100,000|3860
11238|$75,000 under $100,000|3860
11758|$50,000 under $75,000|3860
12306|$25,000 under $50,000|3860
10956|$1 under $25,000|3850
11416|$25,000 under $50,000|3850
10009|$75,000 under $100,000|3840
11725|$100,000 under $200,000|3840
14150|$50,000 under $75,000|3840
10027|$50,000 under $75,000|3830
12304|$1 under $25,000|3830
11050|$200,000 or more|3820
11226|$75,000 under $100,000|3810
11550|$50,000 under $75,000|3810
12078|$1 under $25,000|3810
14020|$1 under $25,000|3810
11355|$50,000 under $75,000|3800
12180|$50,000 under $75,000|3800
12553|$1 under $25,000|3790
10583|$1 under $25,000|3780
11201|$75,000 under $100,000|3770
11432|$50,000 under $75,000|3770
14534|$1 under $25,000|3770
10940|$50,000 under $75,000|3760
11427|$1 under $25,000|3760
11803|$100,000 under $200,000|3760
10309|$100,000 under $200,000|3750
12010|$25,000 under $50,000|3750
12303|$25,000 under $50,000|3750
12590|$25,000 under $50,000|3750
11413|$50,000 under $75,000|3740
12020|$25,000 under $50,000|3740
12866|$25,000 under $50,000|3740
14043|$25,000 under $50,000|3740
14227|$1 under $25,000|3740
10704|$25,000 under $50,000|3730
11214|$100,000 under $200,000|3730
11692|$1 under $25,000|3730
11757|$50,000 under $75,000|3730
10028|$1 under $25,000|3720
14094|$50,000 under $75,000|3720
14218|$1 under $25,000|3720
11217|$200,000 or more|3710
10019|$25,000 under $50,000|3700
10023|$25,000 under $50,000|3700
11357|$25,000 under $50,000|3700
11374|$100,000 under $200,000|3690
13090|$25,000 under $50,000|3690
14221|$50,000 under $75,000|3690
10001|$1 under $25,000|3680
11758|$200,000 or more|3680
11784|$1 under $25,000|3680
11741|$1 under $25,000|3670
11776|$1 under $25,000|3670
10033|$50,000 under $75,000|3660
11436|$1 under $25,000|3660
11552|$1 under $25,000|3660
10128|$75,000 under $100,000|3650
11580|$50,000 under $75,000|3640
11725|$1 under $25,000|3630
11772|$50,000 under $75,000|3630
13027|$25,000 under $50,000|3620
14075|$50,000 under $75,000|3620
14086|$25,000 under $50,000|3620
10703|$1 under $25,000|3610
11105|$50,000 under $75,000|3610
11364|$25,000 under $50,000|3610
11379|$25,000 under $50,000|3610
11420|$50,000 under $75,000|3610
12302|$1 under $25,000|3610
14220|$25,000 under $50,000|3610
11377|$75,000 under $100,000|3600
14850|$100,000 under $200,000|3600
12203|$1 under $25,000|3590
14224|$100,000 under $200,000|3590
11001|$1 under $25,000|3570
11030|$200,000 or more|3560
11510|$25,000 under $50,000|3550
11554|$25,000 under $50,000|3550
14217|$1 under $25,000|3550
14224|$50,000 under $75,000|3550
10312|$75,000 under $100,000|3540
10011|$50,000 under $75,000|3530
12550|$50,000 under $75,000|3530
11901|$25,000 under $50,000|3520
10003|$25,000 under $50,000|3510
10308|$1 under $25,000|3510
11238|$200,000 or more|3510
11414|$1 under $25,000|3510
11428|$1 under $25,000|3510
11727|$25,000 under $50,000|3510
13027|$100,000 under $200,000|3510
14227|$25,000 under $50,000|3510
