Batsman,Result,TeamState,n,Reviews
IR Bell,Struck down,Bowling,9,14
IR Bell,Upheld,Batting,3,9
IR Bell,Upheld,Bowling,5,14
IS Sodhi,Struck down,Batting,2,2
IS Sodhi,Struck down,Bowling,2,2
J Blackwood,Struck down,Batting,3,8
J Blackwood,Struck down,Bowling,10,12
J Blackwood,Umpire's call,Bowling,1,12
J Blackwood,Upheld,Batting,5,8
J Blackwood,Upheld,Bowling,1,12
J Da Silva,Struck down,Batting,1,1
J Da Silva,Struck down,Bowling,1,1
J Nyumbu,Struck down,Batting,1,1
J Yadav,Struck down,Bowling,3,3
JA Burns,Struck down,Bowling,3,6
JA Burns,Umpire's call,Batting,1,2
JA Burns,Upheld,Batting,1,2
JA Burns,Upheld,Bowling,3,6
JA Raval,Struck down,Batting,2,4
JA Raval,Struck down,Bowling,5,6
JA Raval,Umpire's call,Batting,2,4
JA Raval,Umpire's call,Bowling,1,6
JA Rudolph,Struck down,Batting,2,3
JA Rudolph,Struck down,Bowling,3,4
JA Rudolph,Umpire's call,Bowling,1,4
JA Rudolph,Upheld,Batting,1,3
JC Archer,Struck down,Batting,2,2
JC Archer,Struck down,Bowling,1,4
JC Archer,Umpire's call,Bowling,1,4
JC Archer,Upheld,Bowling,2,4
JC Buttler,Struck down,Batting,3,15
JC Buttler,Struck down,Bowling,13,14
JC Buttler,Umpire's call,Batting,5,15
JC Buttler,Umpire's call,Bowling,1,14
JC Buttler,Upheld,Batting,7,15
JD Campbell,Struck down,Batting,2,6
JD Campbell,Struck down,Bowling,3,5
JD Campbell,Upheld,Batting,4,6
JD Campbell,Upheld,Bowling,2,5
JD Ryder,Upheld,Bowling,1,1
JDS Neesham,Upheld,Bowling,2,2
JE Root,Struck down,Batting,12,26
JE Root,Struck down,Bowling,27,35
JE Root,Upheld,Batting,14,26
JE Root,Upheld,Bowling,8,35
JE Taylor,Struck down,Batting,1,1
JE Taylor,Struck down,Bowling,2,2
JH Kallis,Struck down,Batting,3,4
JH Kallis,Struck down,Bowling,3,7
JH Kallis,Upheld,Batting,1,4
JH Kallis,Upheld,Bowling,4,7
JJ Bumrah,Struck down,Bowling,1,1
JK Silva,Struck down,Batting,8,11
JK Silva,Struck down,Bowling,3,7
